gene,score,bucket,sub_bucket_id,sub_bucket_label,n_genes
ETS1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
FOXF1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
FOXP1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
GATA2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
GATA3,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
GATA4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
HDAC5,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
HDAC7,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
HDAC9,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
ISL1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
JUN,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
JUNB,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
KLF2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
KLF4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
LEF1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
MEF2C,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
MEOX2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
MIR1-1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
MIR200A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
MIR200B,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
MIR200C,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
MIR205,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
MIR34A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
